"","date","open","high","low","close","volume","adjusted"
"42",2016-07-29,11.35,11.37,11.05,11.3,33000,11.3
"43",2016-08-01,11.22,11.22,10.93,11.14,34200,11.14
"44",2016-08-02,11.18,11.48,10.35,11.1,48300,11.1
"45",2016-08-03,11.29,11.92,11.21,11.92,135700,11.92
"46",2016-08-04,11.92,12.03,11.74,11.85,56400,11.85
"47",2016-08-05,11.83,12.05,11.44,12.05,51900,12.05
"48",2016-08-08,12.05,12.34,11.81,11.83,26400,11.83
"49",2016-08-09,11.81,11.98,11.63,11.65,56900,11.65
"50",2016-08-10,11.61,11.74,11.45,11.58,30900,11.58
"51",2016-08-11,11.63,11.74,11.53,11.56,35400,11.56
"52",2016-08-12,11.5,11.57,11.31,11.41,34300,11.41
"53",2016-08-15,11.32,11.59,11.31,11.58,47900,11.58
"54",2016-08-16,11.67,11.85,11.47,11.73,31000,11.73
"55",2016-08-17,11.73,11.92,11.58,11.7,31700,11.7
"56",2016-08-18,11.67,11.74,11.67,11.7,16500,11.7
"57",2016-08-19,11.66,11.96,11.5,11.91,30200,11.91
"58",2016-08-22,11.79,12.02,11.78,11.87,19400,11.87
"59",2016-08-23,11.88,11.97,11.83,11.91,9500,11.91
"60",2016-08-24,12,12,11.57,11.58,17000,11.58
"61",2016-08-25,11.51,11.7,11.4,11.51,16100,11.51
"62",2016-08-26,11.49,11.61,11.3,11.41,43100,11.41
"63",2016-08-29,11.36,11.9,11.36,11.89,129000,11.89
"64",2016-08-30,11.83,12.3,11.83,11.95,12900,11.95
"65",2016-08-31,11.99,12.03,11.72,11.75,21400,11.75
"66",2016-09-01,11.71,11.74,11.41,11.58,12100,11.58
"67",2016-09-02,11.85,11.85,11.65,11.71,7000,11.71
"68",2016-09-06,11.76,11.81,11.73,11.81,23500,11.81
"69",2016-09-07,11.75,11.84,11.64,11.69,14900,11.69
"70",2016-09-08,11.64,11.93,11.62,11.83,54100,11.83
"71",2016-09-09,11.8,11.85,11.73,11.8,11900,11.8
"72",2016-09-12,11.8,11.84,11.67,11.81,21600,11.81
"73",2016-09-13,11.8,11.84,11.72,11.8,26000,11.8
"74",2016-09-14,11.8,11.85,11.71,11.83,26900,11.83
"75",2016-09-15,11.84,11.87,11.78,11.84,41900,11.84
"76",2016-09-16,11.8,12,11.73,11.97,38100,11.97
"77",2016-09-19,11.99,12,11.7,11.75,27000,11.75
"78",2016-09-20,11.78,11.81,11.56,11.62,20000,11.62
"79",2016-09-21,11.72,11.72,11.47,11.55,32700,11.55
"80",2016-09-22,11.73,11.8,11.48,11.76,59100,11.76
"81",2016-09-23,11.83,11.9,11.72,11.75,26300,11.75
"82",2016-09-26,11.62,11.66,11.5,11.52,17200,11.52
"83",2016-09-27,11.52,11.6,11.25,11.55,27100,11.55
"84",2016-09-28,11.54,12.37,11.47,12.33,48700,12.33
"85",2016-09-29,12.29,12.35,11.83,11.83,24600,11.83
"86",2016-09-30,11.9,11.98,11.79,11.81,10000,11.81
"87",2016-10-03,11.8,11.96,11.8,11.94,38100,11.94
"88",2016-10-04,11.97,12.02,11.85,11.94,27300,11.94
"89",2016-10-05,12.07,12.18,11.91,12.06,34200,12.06
"90",2016-10-06,12.08,12.25,12.01,12.05,14500,12.05
"91",2016-10-07,12.05,12.16,12.05,12.09,13100,12.09
"92",2016-10-10,12.12,12.3,12.03,12.18,5600,12.18
"93",2016-10-11,12.18,12.24,11.97,12.13,27900,12.13
"94",2016-10-12,12.13,12.27,11.95,12.21,15900,12.21
"95",2016-10-13,12.11,12.29,12.06,12.13,13000,12.13
"96",2016-10-14,12.18,12.3,12.02,12.13,21700,12.13
"97",2016-10-17,12.2,12.2,12.02,12.15,18500,12.15
"98",2016-10-18,12.23,12.25,11.86,12.2,9400,12.2
